#SeqID	Length	Prediction
NODE_1_length_266910_cov_35.1309_ID_1697	266910	Chromosome
NODE_2_length_237354_cov_33.4714_ID_2422	237354	Chromosome
NODE_3_length_219974_cov_33.1443_ID_1811	219974	Chromosome
NODE_4_length_199077_cov_32.0857_ID_1913	199077	Chromosome
NODE_5_length_195894_cov_33.9137_ID_3299	195894	Chromosome
NODE_6_length_150120_cov_33.9487_ID_2829	150120	Chromosome
NODE_7_length_147400_cov_35.8446_ID_2585	147400	Chromosome
NODE_8_length_139545_cov_32.9429_ID_4600	139545	Chromosome
NODE_9_length_119682_cov_33.0061_ID_6520	119682	Chromosome
NODE_10_length_118561_cov_34.6149_ID_2201	118561	Chromosome
NODE_11_length_115435_cov_35.116_ID_3033	115435	Chromosome
NODE_12_length_111537_cov_34.2107_ID_2011	111537	Chromosome
NODE_13_length_110906_cov_35.9783_ID_2085	110906	Chromosome
NODE_14_length_105936_cov_32.8259_ID_2139	105936	Chromosome
NODE_15_length_102158_cov_34.9201_ID_5012	102158	Chromosome
NODE_16_length_100562_cov_31.4814_ID_2360	100562	Chromosome
NODE_17_length_92333_cov_32.9689_ID_3193	92333	Chromosome
NODE_18_length_90695_cov_73.4238_ID_9935	90695	Plasmid
NODE_19_length_88608_cov_36.4218_ID_4059	88608	Chromosome
NODE_20_length_85493_cov_32.9049_ID_2739	85493	Chromosome
NODE_21_length_82712_cov_37.1987_ID_5213	82712	Chromosome
NODE_22_length_74974_cov_32.3716_ID_3123	74974	Chromosome
NODE_23_length_72949_cov_31.4682_ID_12630	72949	Chromosome
NODE_24_length_70823_cov_38.1206_ID_3443	70823	Chromosome
NODE_25_length_63990_cov_33.367_ID_4484	63990	Chromosome
NODE_26_length_61974_cov_35.2462_ID_3972	61974	Chromosome
NODE_27_length_61903_cov_33.4723_ID_5479	61903	Chromosome
NODE_28_length_59445_cov_37.6293_ID_7717	59445	Chromosome
NODE_29_length_57458_cov_32.488_ID_4398	57458	Chromosome
NODE_30_length_55983_cov_38.2869_ID_3692	55983	Chromosome
NODE_31_length_55912_cov_40.0493_ID_6634	55912	Chromosome
NODE_32_length_55728_cov_35.0087_ID_4185	55728	Chromosome
NODE_33_length_55012_cov_37.0533_ID_3602	55012	Chromosome
NODE_34_length_52525_cov_36.0806_ID_5091	52525	Chromosome
NODE_35_length_50172_cov_32.5538_ID_4264	50172	Chromosome
NODE_36_length_43647_cov_35.2478_ID_4758	43647	Chromosome
NODE_37_length_43494_cov_38.1025_ID_4844	43494	Chromosome
NODE_38_length_42174_cov_34.3068_ID_4926	42174	Chromosome
NODE_39_length_41639_cov_32.1386_ID_5762	41639	Chromosome
NODE_40_length_41175_cov_35.3064_ID_16107	41175	Chromosome
NODE_41_length_39599_cov_34.322_ID_7954	39599	Chromosome
NODE_42_length_38828_cov_32.6678_ID_7571	38828	Plasmid
NODE_43_length_36399_cov_31.3424_ID_5331	36399	Chromosome
NODE_44_length_35617_cov_36.3701_ID_15231	35617	Plasmid
NODE_45_length_34931_cov_35.9014_ID_5393	34931	Chromosome
NODE_46_length_32600_cov_133.792_ID_8719	32600	Plasmid
NODE_47_length_31850_cov_37.034_ID_6887	31850	Chromosome
NODE_48_length_30843_cov_36.9223_ID_6809	30843	Chromosome
NODE_49_length_28837_cov_35.455_ID_6997	28837	Chromosome
NODE_50_length_27926_cov_32.2157_ID_7067	27926	Chromosome
NODE_51_length_27536_cov_39.0263_ID_7137	27536	Chromosome
NODE_52_length_26189_cov_86.4027_ID_8256	26189	Chromosome
NODE_53_length_26118_cov_36.3217_ID_17952	26118	Chromosome
NODE_54_length_25730_cov_31.972_ID_7223	25730	Chromosome
NODE_55_length_25444_cov_74.555_ID_7427	25444	Plasmid
NODE_56_length_25035_cov_70.8741_ID_9853	25035	Plasmid
NODE_57_length_24914_cov_33.5098_ID_7481	24914	Plasmid
NODE_58_length_23855_cov_41.1232_ID_8913	23855	Chromosome
NODE_59_length_21830_cov_32.4453_ID_8108	21830	Chromosome
NODE_60_length_21333_cov_31.5833_ID_8403	21333	Chromosome
NODE_61_length_21329_cov_69.2029_ID_8198	21329	Plasmid
NODE_62_length_20722_cov_31.867_ID_8485	20722	Chromosome
NODE_63_length_20644_cov_42.526_ID_10404	20644	Plasmid
NODE_64_length_20277_cov_33.031_ID_8633	20277	Plasmid
NODE_65_length_18907_cov_36.1566_ID_8823	18907	Plasmid
NODE_66_length_18047_cov_43.7137_ID_9153	18047	Chromosome
NODE_67_length_17591_cov_43.697_ID_9549	17591	Plasmid
NODE_68_length_17478_cov_47.3676_ID_15416	17478	Plasmid
NODE_69_length_17005_cov_36.6925_ID_9091	17005	Plasmid
NODE_70_length_16657_cov_31.6414_ID_9299	16657	Plasmid
NODE_71_length_15856_cov_32.022_ID_9381	15856	Chromosome
NODE_72_length_15592_cov_75.6689_ID_9467	15592	Chromosome
NODE_73_length_14716_cov_38.1696_ID_11590	14716	Plasmid
NODE_74_length_13947_cov_35.3847_ID_9701	13947	Chromosome
NODE_75_length_13855_cov_37.1566_ID_9635	13855	Plasmid
NODE_76_length_13695_cov_94.744_ID_10108	13695	Plasmid
NODE_77_length_13390_cov_32.5937_ID_11200	13390	Plasmid
NODE_78_length_12941_cov_25.7071_ID_9795	12941	Chromosome
NODE_79_length_12916_cov_45.5678_ID_10254	12916	Plasmid
NODE_80_length_12891_cov_30.5746_ID_10794	12891	Plasmid
NODE_81_length_12816_cov_33.1997_ID_12096	12816	Chromosome
NODE_82_length_11175_cov_29.2657_ID_10728	11175	Chromosome
NODE_83_length_11153_cov_57.6416_ID_11994	11153	Plasmid
NODE_84_length_11079_cov_35.0221_ID_10662	11079	Chromosome
NODE_85_length_10866_cov_42.6258_ID_10962	10866	Plasmid
