#SeqID	Length	Prediction
NODE_1_length_513427_cov_24.4689_ID_3945	513427	Chromosome
NODE_2_length_349388_cov_24.3798_ID_3947	349388	Chromosome
NODE_3_length_198312_cov_24.3423_ID_3949	198312	Plasmid
NODE_4_length_153452_cov_24.154_ID_3951	153452	Chromosome
NODE_5_length_144205_cov_24.4122_ID_3953	144205	Plasmid
NODE_6_length_120127_cov_24.3768_ID_3955	120127	Plasmid
NODE_7_length_117395_cov_24.5119_ID_3957	117395	Plasmid
NODE_8_length_114786_cov_24.2158_ID_3959	114786	Plasmid
NODE_9_length_87268_cov_24.2547_ID_3961	87268	Plasmid
NODE_10_length_85682_cov_24.3243_ID_3963	85682	Plasmid
NODE_11_length_76497_cov_24.5445_ID_3965	76497	Chromosome
NODE_12_length_71317_cov_24.8195_ID_3967	71317	Chromosome
NODE_13_length_70114_cov_24.7678_ID_3969	70114	Plasmid
NODE_14_length_64247_cov_24.2892_ID_3971	64247	Chromosome
NODE_15_length_62660_cov_24.3408_ID_3973	62660	Plasmid
NODE_16_length_62519_cov_24.336_ID_3975	62519	Chromosome
NODE_17_length_53764_cov_24.3671_ID_3977	53764	Chromosome
NODE_18_length_46359_cov_24.3709_ID_3979	46359	Plasmid
NODE_19_length_44062_cov_24.34_ID_3981	44062	Chromosome
NODE_20_length_37116_cov_24.8452_ID_3983	37116	Chromosome
NODE_21_length_36722_cov_24.4439_ID_3985	36722	Plasmid
NODE_22_length_36669_cov_24.5071_ID_3987	36669	Plasmid
NODE_23_length_36595_cov_24.4273_ID_3989	36595	Plasmid
NODE_24_length_35335_cov_24.1782_ID_3991	35335	Chromosome
NODE_25_length_31318_cov_24.7906_ID_3993	31318	Chromosome
NODE_26_length_30172_cov_26.7384_ID_3995	30172	Plasmid
NODE_27_length_27808_cov_24.3998_ID_3997	27808	Chromosome
NODE_28_length_12031_cov_26.4949_ID_3999	12031	Plasmid
NODE_29_length_5436_cov_50.7204_ID_4001	5436	Chromosome
NODE_30_length_3696_cov_25.132_ID_4003	3696	Chromosome
NODE_31_length_1042_cov_48.9667_ID_4005	1042	Plasmid
NODE_32_length_998_cov_73.9642_ID_4007	998	Chromosome
NODE_33_length_234_cov_23.8826_ID_4009	234	Chromosome
NODE_34_length_216_cov_21.0205_ID_4011	216	Chromosome
NODE_35_length_201_cov_23.4111_ID_4013	201	Plasmid
NODE_36_length_177_cov_26.6923_ID_4015	177	Plasmid
NODE_37_length_97_cov_25.9737_ID_4017	97	Plasmid
NODE_38_length_88_cov_20.8806_ID_4019	88	Plasmid
NODE_39_length_80_cov_24.5932_ID_4021	80	Plasmid
NODE_40_length_77_cov_20.9464_ID_4023	77	Plasmid
NODE_41_length_75_cov_23.5556_ID_4025	75	Plasmid
NODE_42_length_71_cov_24.1_ID_4027	71	Plasmid
NODE_43_length_70_cov_28.4082_ID_4029	70	Plasmid
NODE_44_length_69_cov_26.1875_ID_4031	69	Chromosome
NODE_45_length_69_cov_38.4792_ID_4033	69	Chromosome
NODE_46_length_69_cov_73.1667_ID_4035	69	Plasmid
NODE_47_length_68_cov_19.383_ID_4037	68	Plasmid
NODE_48_length_68_cov_25.9787_ID_4039	68	Chromosome
NODE_49_length_68_cov_97.0213_ID_4041	68	Chromosome
NODE_50_length_65_cov_24.0455_ID_4043	65	Plasmid
NODE_51_length_64_cov_54.9302_ID_4045	64	Plasmid
NODE_52_length_58_cov_28.4054_ID_4047	58	Plasmid
NODE_53_length_58_cov_56.3784_ID_4049	58	Plasmid
NODE_54_length_58_cov_47.8108_ID_4051	58	Plasmid
NODE_55_length_57_cov_46.6944_ID_4053	57	Chromosome
NODE_56_length_55_cov_19.4706_ID_4055	55	Chromosome
NODE_57_length_55_cov_27.9706_ID_4057	55	Plasmid
NODE_58_length_54_cov_18.8788_ID_4059	54	Chromosome
NODE_59_length_53_cov_42.1875_ID_4061	53	Plasmid
NODE_60_length_51_cov_24.1667_ID_4063	51	Plasmid
NODE_61_length_50_cov_52.3793_ID_4065	50	Plasmid
NODE_62_length_46_cov_9.32_ID_4067	46	Chromosome
NODE_63_length_43_cov_20.2727_ID_4069	43	Chromosome
NODE_64_length_43_cov_46.5_ID_4071	43	Chromosome
NODE_65_length_43_cov_68.8636_ID_4073	43	Plasmid
